fname,n
LOLLIE,2
LON,2
LONA,2
LONADA,2
LONAS,1
LONNIE,12
LORA,19
LORAINE,6
LOREEN,2
LOREN,7
LORENA,4
LORENE,2
LORETTA,28
LORI,26
LORIANN,1
LORIE,2
LORIN,2
LORINE,2
LORISSA,2
LORNA,1
LORRAINE,7
LORRETTA,1
LOTTIE,1
LOU,2
LOU ETTA,1
LOUANN,2
LOUANNA,2
LOUCILLE,1
LOUELLA,4
LOUELLEN,2
LOUETTA,2
LOUIE,2
LOUIS,18
LOUISE,40
LOVIE,2
LOWELL,2
LOYD,3
LUANN,1
LUANNE,2
LUCAS,10
LUCIAN,2
LUCILLE,31
