fname,src,n
CLARK,A,2
CLARK,B,1
CLARKE,A,1
CLARKSTON,A,1
CLARKSTON,B,1
CLAUDE,A,13
CLAUDE,B,11
CLAUDETTE,A,3
CLAUDETTE,B,3
CLAUDIA,A,9
CLAUDIA,B,10
CLAUDINE,A,1
CLAUDINE,B,1
CLAY,A,6
CLAY,B,6
CLAYBORN,A,2
CLAYBORN,B,1
CLAYTON,A,5
CLAYTON,B,5
CLEDA,A,1
CLEDA,B,1
CLELA,A,2
CLELIA,A,1
CLELIA,B,1
CLEMENCIA,B,1
CLEO,A,2
CLEO,B,2
CLEOPHAS,A,1
CLEOPHAS,B,1
CLIFF,A,1
CLIFF,B,1
CLIFFIRD,A,1
CLIFFIRD,B,1
CLIFFORD,A,17
CLIFFORD,B,16
CLIFTON,A,3
CLIFTON,B,5
CLILLON,A,1
CLILLON,B,1
CLINT,A,1
CLINT,B,1
CLINTON,A,4
CLINTON,B,5
CLOVIS,A,1
CLOVIS,B,1
CLYDE,A,19
CLYDE,B,14
CODEY,A,1
CODEY,B,1
CODY,A,12
CODY,B,15
COLBY,A,5
COLBY,B,5
COLE,A,2
COLE,B,2
COLEMAN,A,2
COLEMAN,B,1
COLETTE,B,1
COLLEEN,A,5
COLLEEN,B,6
COLT,A,1
COLT,B,1
COLTON,A,2
COLTON,B,5
CONLEY,A,2
CONNER,A,1
CONNER,B,1
CONNIE,A,20
CONNIE,B,20
CONNO,A,1
CONNO,B,1
CONNOR,A,1
CONRAD,A,2
CONRAD,B,3
CONSTANCE,A,6
CONSTANCE,B,7
CONWAY,A,1
CONWAY,B,1
CORA,A,8
CORA,B,8
CORBIN,A,1
CORBIN,B,1
CORDELLA,A,1
CORDELLA,B,1
CORETHA,A,1
CORETHA,B,1
COREY,A,5
COREY,B,6
CORINE,A,1
CORINE,B,1
CORINNE,A,2
CORINNE,B,3
CORNELIA,A,1
CORNELIS,A,1
CORNELIS,B,1
CORRINA,B,1
CORRINE,A,2
CORRINE,B,1
CORTNEY,A,3
CORTNEY,B,3
CORY,A,5
CORY,B,6
COTY,A,1
COTY,B,2
COURTLAND,A,1
COURTLAND,B,1
COURTNEY,A,9
COURTNEY,B,11
COY,A,6
COY,B,5
CRAIG,A,10
CRAIG,B,12
CRATE,A,2
CREED,A,1
CREED,B,1
CRESTON,B,1
CRISSY,A,1
CRISSY,B,1
CRISTA,A,1
CRISTA,B,1
CRISTAL,A,1
CRISTEN,A,1
CRISTIN,A,1
CRISTIN,B,1
CRISTY,A,1
CRUTCHER,A,1
CRYSTAL,A,39
CRYSTAL,B,39
CRYSTLE,B,1
CURTIS,A,14
CURTIS,B,12
CURTISHA,A,1
CYLDE,A,1
CYLDE,B,1
CYNDI,A,1
CYNDI,B,1
CYNTHIA,A,46
CYNTHIA,B,44
CYRENA,A,1
CYRENA,B,1
CYRUS,A,3
CYRUS,B,2
D,A,2
D,B,2
DAIL,A,1
DAILEN,A,1
DAIN,A,1
DAIN,B,1
DAINNE,A,1
DAINNE,B,1
DAINYELL,A,1
DAINYELL,B,1
DAIREN,B,1
DAISEY,A,1
DAISEY,B,1
DAISY,A,2
DAISY,B,2
DAKOTA,A,3
DAKOTA,B,5
DAKOTHA,A,1
DAKOTHA,B,1
DALE,A,15
DALE,B,15
DALILA,A,1
DALILA,B,1
DALLAS,A,8
DALLAS,B,6
DALTON,A,2
DALTON,B,6
DAMON,A,2
DAMON,B,2
DAN,A,8
DAN,B,5
DANA,A,11
DANA,B,9
DANAH,A,1
DANAH,B,1
DANE,A,1
DANI,A,1
DANI,B,1
DANIEL,A,72
DANIEL,B,73
DANIELLA,A,1
DANIELLA,B,1
DANIELLE,A,10
DANIELLE,B,13
DANNA,A,1
DANNY,A,29
DANNY,B,31
DANYELE,A,1
DANYELE,B,1
DAPHNE,A,4
DAPHNE,B,5
DARBY,B,1
DARCI,A,1
DARCI,B,1
DAREL,A,1
DARGAN,B,1
DARICK,A,1
DARICK,B,1
DARIN,A,2
DARIN,B,3
DARIUS,A,2
DARIUS,B,2
DARKES,A,1
DARKES,B,1
DARLA,A,2
DARLA,B,3
DARLEEN,B,1
DARLENE,A,12
DARLENE,B,14
DARNELL,B,1
DAROLYN,B,1
DARREL,A,3
DARREL,B,2
DARRELL,A,21
DARRELL,B,20
DARREN,A,9
DARREN,B,8
DARRIN,A,4
DARRIN,B,3
DARRIS,A,1
DARRIS,B,1
DARRON,A,1
DARRYL,A,6
DARRYL,B,8
DARYL,A,8
DARYL,B,7
DAULTON,A,1
DAULTON,B,2
DAVE,A,1
DAVE,B,1
DAVIA,A,1
DAVIA,B,1
DAVID,A,203
DAVID,B,202
DAVIE,A,1
DAVIE,B,1
DAVINA,A,1
DAVINA,B,1
DAVIS,A,1
DAVIS,B,1
DAWN,A,18
DAWN,B,17
DAYTON,A,1
DAYTON,B,1
DAZZIE,A,1
DAZZIE,B,1
DEAMIE,A,1
DEAMIE,B,1
DEAN,A,7
DEAN,B,8
DEANA,A,1
DEANA,B,2
DEANNA,A,9
DEANNA,B,6
DEANNE,A,1
DEANNE,B,1
DEBBIE,A,11
DEBBIE,B,9
DEBORA,A,2
DEBORA,B,5
DEBORAH,A,70
DEBORAH,B,75
DEBRA,A,32
DEBRA,B,31
DEDERIA,A,1
DEDERIA,B,1
DEDRA,A,1
DEDRA,B,1
DEENA,A,1
DEENA,B,1
DEIDRA,A,1
DEIRDRE,A,1
DEIRDRE,B,1
DEITRA,A,2
DEITRA,B,2
DELANE,A,1
DELANE,B,1
DELANIA,A,1
DELDANA,A,1
DELDANA,B,1
DELIA,B,1
DELIAH,A,1
DELIAH,B,1
DELLA,A,4
DELLA,B,3
DELMAR,A,1
DELMAR,B,1
DELORES,A,5
DELORES,B,4
DELORIS,A,1
DELORIS,B,1
DELPHIA,A,1
DENA,A,2
DENA,B,2
DENE',A,1
DENE',B,1
DENISE,A,14
DENISE,B,14
DENITA,A,1
DENITA,B,1
DENNA,A,2
DENNA,B,1
DENNIA,A,1
DENNIA,B,1
DENNIS,A,54
DENNIS,B,53
DENNISE,A,2
DENNISE,B,2
DENNY,A,1
DENNY,B,1
DENVER,A,1
DENVER,B,1
DEONDRE,B,1
DEONNA,A,1
DEONNA,B,1
DEONNE,A,1
DEONNE,B,1
DERBY,A,1
DERBY,B,1
DEREK,A,9
DEREK,B,10
DERICK,A,3
DERICK,B,3
DERRICK,A,8
DERRICK,B,7
DERWIN,A,2
DERWIN,B,2
DERYL,A,1
DERYL,B,1
DESIREE,A,6
DESIREE,B,6
DESTIN,A,1
DESTIN,B,1
DESTINI,A,1
DESTINI,B,2
DESTINY,B,1
DETRA,A,1
DEVEN,B,1
DEVIN,A,3
DEVIN,B,3
DEVON,A,2
DEVON,B,2
DEVOYD,A,1
DEWAYNE,A,1
DEWAYNE,B,1
DEWEY,A,5
DEWEY,B,5
DEWITT,A,1
DEXTER,A,1
DEXTER,B,1
DIAMTHA,A,1
DIAMTHA,B,1
DIANA,A,22
DIANA,B,19
DIANE,A,27
DIANE,B,27
DIANNA,A,3
DIANNA,B,3
DIANNE,A,4
DIANNE,B,4
DIETRICH,A,1
DIETRICH,B,1
DILLION,B,2
DILLON,A,5
DILLON,B,7
DINA,A,1
DINA,B,1
DINAH,A,3
DINAH,B,3
DIXIE,A,5
DIXIE,B,4
DOCK,A,4
DOCK,B,2
DOLLIE,A,2
DOLLIE,B,2
DOLLY,A,2
DOLLY,B,2
DOLPH,A,1
DOLPH,B,1
DOLPHUS,A,1
DOLPHUS,B,1
DOMINIC,B,1
DOMINICK,A,1
DON,A,4
DON,B,3
