lname,src,n
COX,A,22
COX,B,20
COYLE,A,1
COYLE,B,1
CRABB,A,2
CRABB,B,2
CRABTREE,A,1
CRAFT,A,3
CRAFT,B,3
CRAIG,A,9
CRAIG,B,5
CRAIN,A,38
CRAIN,B,34
CRAM,A,1
CRAM,B,1
CRAMP,A,5
CRAMP,B,4
CRANE,A,4
CRANE,B,4
CRAWFORD,A,3
CRAWFORD,B,3
CRAWLEY,A,1
CRAWLEY,B,1
CRAWMER,B,2
CREASMAN,A,2
CREASMAN,B,2
CREECH,A,4
CREECH,B,5
CRESON,A,1
CRESON,B,1
CREWS,A,1
CRIPPS,A,2
CRIPPS,B,2
CRISP,A,3
CRISP,B,4
CRIST,A,1
CRIST,B,1
CRISTE,A,1
CRISTE,B,2
CROCKER,B,1
CROMEANS,A,2
CROMEANS,B,2
CROMPTON,A,1
CRONEN,A,1
CRONEN,B,2
CRONIN,B,1
CROOK,A,3
CROOK,B,3
CROOKS,A,3
CROOKS,B,3
CROSBY,A,3
CROSBY,B,5
CROSS,A,2
CROSS,B,1
CROUT,A,4
CROUT,B,4
CROW,A,2
CROW,B,2
CROWDER,A,26
CROWDER,B,32
CROWLEY,A,1
CROWLEY,B,1
CROWTHER,A,2
CROWTHER,B,2
CROY,A,2
CROY,B,1
CRUMPLER,A,4
CRUMPLER,B,3
CRUTCHER,A,1
CRUTCHFIELD,A,3
CRUTCHFIELD,B,3
CRUZ,A,7
CRUZ,B,7
CRUZAN,A,1
CRYDERMAN,B,1
CUDDY,A,1
CUDDY,B,1
CULBERSON,A,1
CULBREATH,A,1
CULLOM,A,2
CULLOM,B,2
CULVER,A,2
CUMBIE,A,1
CUMBIE,B,1
CUMMINGS,A,1
CUMMINGS,B,4
CUMMINS,A,1
CUMMINS,B,1
CUNDIFF,A,1
CUNDIFF,B,1
CUNNINGHAM,A,2
CUNNINGHAM,B,5
CURRIE,B,2
CURRY,A,2
CURRY,B,1
CURTIS,A,8
CURTIS,B,8
CUSHMAN,B,1
CUSTODE,A,1
CUSTODE,B,1
CUTSHALL,A,1
CUTSHALL,B,3
DAHL,B,1
DAHLBERG,A,10
DAHLBERG,B,9
DAHLBURG,A,1
DAHLIN,A,3
DAHLIN,B,2
DAILEY,A,2
DAILEY,B,2
DAINE,A,1
DAINE,B,1
DAIZ,B,1
DAKOSKI,A,1
DALE,A,20
DALE,B,19
DALTON,A,2
DALTON,B,2
DANA,A,1
DANAHER,B,1
DANE,A,1
DANFORD,A,3
DANFORD,B,3
DANIEL,A,6
DANIEL,B,1
DANIELLO,A,1
DANIELLO,B,1
DANIELS,A,4
DANIELS,B,4
DANNER,A,3
DANNER,B,2
DANNHEIM,B,1
DANTUONO,B,1
DAQUIN,B,2
DARBY,A,1
DARDEN,A,2
DARDER,B,1
DARDER BONILLA,A,1
DARDER BONILLA,B,1
DARK,B,2
DARNALL,B,2
DART,B,1
DAST,A,1
DAST,B,1
DAUGHERTY,A,1
DAVENPORT,A,7
DAVENPORT,B,6
DAVID,A,5
DAVIDSON,A,2
DAVIDSON,B,2
DAVIS,A,55
DAVIS,B,57
DAVISON,A,1
DAVISON,B,1
DAWES,A,1
DAWES,B,1
DAWKINS,A,2
DAWKINS,B,2
DAWLEY,A,1
DAWLEY,B,1
DAY,A,3
DAY,B,1
DAYTON,A,2
DAYTON,B,2
DE ANGELIS,A,1
DE ANGELIS,B,1
DE GROAT,A,1
DE GROAT,B,1
DE JESUS,A,3
DE JESUS,B,3
DE LAUGHTER,A,1
DE SUMMA,A,1
DEAL,A,2
DEAL,B,2
DEAN,A,2
DEAN,B,2
DEARING,A,1
DEARING,B,1
DEASE,A,1
DEASE,B,1
DEATON,A,4
DEATON,B,6
DEBUSMAN,A,1
DECKER,A,2
DECKER,B,2
DECKERT,A,2
DECKERT,B,2
DECOLA,A,2
DECOLA,B,2
DEES,A,5
DEES,B,2
DEESE,A,1
DEFELICI,A,1
DEFELICI,B,1
DEFOREST,A,1
DEFOREST,B,1
DEFRANCO,A,1
DEFRANCO,B,1
DEGRANDE,A,1
DEGRANDE,B,1
DEGROOT,B,1
DEHART,A,1
DEHART,B,1
DEITZ,A,4
DEITZ,B,4
DELANEY,A,1
DELANEY,B,1
DELANY,B,1
DELCOGLIANO,A,1
DELCOGLIANO,B,1
DELCOURT,A,3
DELCOURT,B,4
DELF,A,1
DELF,B,1
DELLINGER,A,20
DELLINGER,B,19
DELOATCH,B,1
DELVECCHIO,A,1
DEMARCE,A,1
DEMARCE,B,2
DEMERS,B,1
DEMERTZIS,B,1
DEMMERT,A,2
DEMMERT,B,1
DEMORSKY,A,1
DEMORSKY,B,1
DENKER,A,1
DENKER,B,1
DENLEY,B,2
DENNING,A,2
DENNING,B,2
DENNIS,A,4
DENNIS,B,2
DENNY,A,7
DENNY,B,4
DENT,A,1
DENT,B,1
DENTON,A,2
DENTON,B,1
DERBY,B,1
DEVA,B,1
DEVEE,B,1
DEVERE,A,3
DEVERE,B,3
DEVOE,A,1
DEVOE,B,1
DEWITT,A,1
DEWITT,B,1
DEWITT-FELDMAN,A,1
DEWITT-FELDMAN,B,1
DEYO,A,1
DEYO,B,1
DEYTON,A,107
DEYTON,B,101
DI PASQUALE,A,1
DI PASQUALE,B,1
DIAL,A,2
DIAL,B,1
DICKERSON,A,1
DICKERSON,B,2
DICKSON,A,1
DICKSON,B,1
DICRISTINO,A,3
DICRISTINO,B,1
DIDIER,A,2
DIDIER,B,2
DIDONATO,A,1
DIDONATO,B,1
DIENSTBERGER,A,2
DIENSTBERGER,B,2
DIETERICH,A,1
DIETERICH,B,1
DIETRICH,A,2
DIETRICH,B,2
DIETRICH-DAVIS,A,1
DIETRICH-DAVIS,B,2
DIETZ,A,2
DIETZ,B,1
DIGH,B,1
DIGIOVANNA,A,1
DIGIOVANNA,B,1
DILL,B,1
DILLARD,A,1
DILLARD,B,1
DILLINGER,B,2
DILS,A,1
